1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,9,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,7,1,2,2,2,8,1
1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,1
1,2,2,2,10,10,10,10,10,-1,-1,-1,1,1,1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,8,-1,-1,1
1,-1,8,-1,2,10,10,10,10,-1,-1,-1,1,1,1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,-1,-1,-1,-1,7,-1,1,1,1,-1,-1,-1,-1,1
1,7,-1,7,1,-1,-1,-1,-1,2,2,2,1,1,1,-1,-1,-1,-1,1
1,2,-1,2,1,-1,2,2,2,1,1,1,1,1,1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1,7,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,1
1,-1,0,-1,1,4,4,4,4,-1,-1,-1,5,-1,2,2,2,2,2,1
1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1
