1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,11,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1
1,-1,9,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,2,10,10,10,10,2,1
1,11,11,11,11,-1,-1,-1,-1,-1,11,11,11,-1,1,10,10,10,10,1,1
1,-1,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,-1,-1,11,-1,-1,11,11,11,-1,-1,-1,-1,1,1,1,1,1,1,1
1,-1,0,-1,11,-1,7,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1
