1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,-1,-1,-1,12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,2,2,2,2,10,2,2,2,2,2,2,10,2,-1,-1,-1,-1,-1,-1,1
10,6,7,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,1
10,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,-1,-1,12,-1,-1,-1,1
10,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1
10,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1
10,6,6,6,6,8,6,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,1,1
10,6,6,6,6,6,6,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,1,1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,7,-1,-1,-1,9,-1,1,1
10,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,-1,2,2,2,1,1
10,6,6,6,6,6,6,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,1,1
10,6,6,6,6,8,6,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,1,1
10,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,1,1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1
10,6,6,6,6,6,6,6,8,6,6,-1,-1,-1,-1,14,-1,-1,-1,1,1
10,10,10,10,10,10,10,10,10,10,10,2,2,2,2,2,2,2,2,1,1
